if_id,source_file,source_line,route_pattern,methods,expanded_paths,expanded_routes
IF-CS-034,spec/framework/23-interface-contract-catalog.md,80,/_matrix/client/*/rooms/{roomId}/event/{eventId},GET,/_matrix/client/v3/rooms/{roomId}/event/{eventId},GET /_matrix/client/v3/rooms/{roomId}/event/{eventId}
IF-CS-034,spec/framework/23-interface-contract-catalog.md,80,/_matrix/client/*/rooms/{roomId}/joined_members,GET,/_matrix/client/v3/rooms/{roomId}/joined_members,GET /_matrix/client/v3/rooms/{roomId}/joined_members
IF-CS-034,spec/framework/23-interface-contract-catalog.md,80,/_matrix/client/*/rooms/{roomId}/members,GET,/_matrix/client/v3/rooms/{roomId}/members,GET /_matrix/client/v3/rooms/{roomId}/members
IF-CS-034,spec/framework/23-interface-contract-catalog.md,80,/_matrix/client/*/rooms/{roomId}/messages,GET,/_matrix/client/v3/rooms/{roomId}/messages,GET /_matrix/client/v3/rooms/{roomId}/messages
IF-CS-034,spec/framework/23-interface-contract-catalog.md,80,/_matrix/client/*/rooms/{roomId}/relations/{eventId},GET,/_matrix/client/v1/rooms/{roomId}/relations/{eventId},GET /_matrix/client/v1/rooms/{roomId}/relations/{eventId}
IF-CS-034,spec/framework/23-interface-contract-catalog.md,80,/_matrix/client/*/rooms/{roomId}/relations/{eventId}/{relType},GET,/_matrix/client/v1/rooms/{roomId}/relations/{eventId}/{relType},GET /_matrix/client/v1/rooms/{roomId}/relations/{eventId}/{relType}
IF-CS-034,spec/framework/23-interface-contract-catalog.md,80,/_matrix/client/*/rooms/{roomId}/relations/{eventId}/{relType}/{eventType},GET,/_matrix/client/v1/rooms/{roomId}/relations/{eventId}/{relType}/{eventType},GET /_matrix/client/v1/rooms/{roomId}/relations/{eventId}/{relType}/{eventType}
IF-CS-034,spec/framework/23-interface-contract-catalog.md,80,/_matrix/client/*/rooms/{roomId}/state,GET,/_matrix/client/v3/rooms/{roomId}/state,GET /_matrix/client/v3/rooms/{roomId}/state
IF-CS-034,spec/framework/23-interface-contract-catalog.md,80,/_matrix/client/*/rooms/{roomId}/state/{eventType}/{stateKey},GET,/_matrix/client/v3/rooms/{roomId}/state/{eventType}/{stateKey},GET /_matrix/client/v3/rooms/{roomId}/state/{eventType}/{stateKey}
IF-CS-034,spec/framework/23-interface-contract-catalog.md,80,/_matrix/client/*/rooms/{roomId}/threads,GET,/_matrix/client/v1/rooms/{roomId}/threads,GET /_matrix/client/v1/rooms/{roomId}/threads
IF-CS-034,spec/framework/23-interface-contract-catalog.md,80,/_matrix/client/*/rooms/{roomId}/timestamp_to_event,GET,/_matrix/client/v1/rooms/{roomId}/timestamp_to_event,GET /_matrix/client/v1/rooms/{roomId}/timestamp_to_event
IF-CS-035,spec/framework/23-interface-contract-catalog.md,81,/_matrix/client/*/rooms/{roomId}/redact/{eventId}/{txnId},PUT,/_matrix/client/v3/rooms/{roomId}/redact/{eventId}/{txnId},PUT /_matrix/client/v3/rooms/{roomId}/redact/{eventId}/{txnId}
IF-CS-040,spec/framework/23-interface-contract-catalog.md,87,/_matrix/client/*/delete_devices,POST,/_matrix/client/v3/delete_devices,POST /_matrix/client/v3/delete_devices
IF-CS-040,spec/framework/23-interface-contract-catalog.md,87,/_matrix/client/*/devices,GET,/_matrix/client/v3/devices,GET /_matrix/client/v3/devices
IF-CS-040,spec/framework/23-interface-contract-catalog.md,87,/_matrix/client/*/devices/{deviceId},GET,/_matrix/client/v3/devices/{deviceId},GET /_matrix/client/v3/devices/{deviceId}
IF-CS-040,spec/framework/23-interface-contract-catalog.md,87,/_matrix/client/*/devices/{deviceId},PUT,/_matrix/client/v3/devices/{deviceId},PUT /_matrix/client/v3/devices/{deviceId}
IF-CS-040,spec/framework/23-interface-contract-catalog.md,87,/_matrix/client/*/devices/{deviceId},DELETE,/_matrix/client/v3/devices/{deviceId},DELETE /_matrix/client/v3/devices/{deviceId}
IF-CS-041,spec/framework/23-interface-contract-catalog.md,88,/_matrix/client/*/sendToDevice/{eventType}/{txnId},PUT,/_matrix/client/v3/sendToDevice/{eventType}/{txnId},PUT /_matrix/client/v3/sendToDevice/{eventType}/{txnId}
IF-CS-042,spec/framework/23-interface-contract-catalog.md,89,/_matrix/client/*/keys/upload,POST,/_matrix/client/v3/keys/upload,POST /_matrix/client/v3/keys/upload
IF-CS-043,spec/framework/23-interface-contract-catalog.md,90,/_matrix/client/*/keys/query,POST,/_matrix/client/v3/keys/query,POST /_matrix/client/v3/keys/query
IF-CS-044,spec/framework/23-interface-contract-catalog.md,91,/_matrix/client/*/keys/claim,POST,/_matrix/client/v3/keys/claim,POST /_matrix/client/v3/keys/claim
IF-CS-045,spec/framework/23-interface-contract-catalog.md,92,/_matrix/client/*/room_keys/keys,"GET,PUT",/_matrix/client/v3/room_keys/keys,GET /_matrix/client/v3/room_keys/keys | PUT /_matrix/client/v3/room_keys/keys
IF-CS-045,spec/framework/23-interface-contract-catalog.md,92,/_matrix/client/*/room_keys/keys/{roomId},"GET,PUT,DELETE",/_matrix/client/v3/room_keys/keys/{roomId},GET /_matrix/client/v3/room_keys/keys/{roomId} | PUT /_matrix/client/v3/room_keys/keys/{roomId} | DELETE /_matrix/client/v3/room_keys/keys/{roomId}
IF-CS-045,spec/framework/23-interface-contract-catalog.md,92,/_matrix/client/*/room_keys/keys/{roomId}/{sessionId},"GET,PUT,DELETE",/_matrix/client/v3/room_keys/keys/{roomId}/{sessionId},GET /_matrix/client/v3/room_keys/keys/{roomId}/{sessionId} | PUT /_matrix/client/v3/room_keys/keys/{roomId}/{sessionId} | DELETE /_matrix/client/v3/room_keys/keys/{roomId}/{sessionId}
IF-CS-045,spec/framework/23-interface-contract-catalog.md,92,/_matrix/client/*/room_keys/version,POST,/_matrix/client/v3/room_keys/version,POST /_matrix/client/v3/room_keys/version
IF-CS-045,spec/framework/23-interface-contract-catalog.md,92,/_matrix/client/*/room_keys/version,GET,/_matrix/client/v3/room_keys/version,GET /_matrix/client/v3/room_keys/version
IF-CS-045,spec/framework/23-interface-contract-catalog.md,92,/_matrix/client/*/room_keys/version/{version},"GET,PUT,DELETE",/_matrix/client/v3/room_keys/version/{version},GET /_matrix/client/v3/room_keys/version/{version} | PUT /_matrix/client/v3/room_keys/version/{version} | DELETE /_matrix/client/v3/room_keys/version/{version}
IF-CS-050,spec/framework/23-interface-contract-catalog.md,98,/_matrix/media/*/config,GET,/_matrix/media/v3/config,GET /_matrix/media/v3/config
IF-CS-050,spec/framework/23-interface-contract-catalog.md,98,/_matrix/media/*/create,POST,/_matrix/media/v1/create,POST /_matrix/media/v1/create
IF-CS-050,spec/framework/23-interface-contract-catalog.md,98,/_matrix/media/*/upload,POST,/_matrix/media/v3/upload,POST /_matrix/media/v3/upload
IF-CS-050,spec/framework/23-interface-contract-catalog.md,98,/_matrix/media/*/upload/{serverName}/{mediaId},PUT,/_matrix/media/v3/upload/{serverName}/{mediaId},PUT /_matrix/media/v3/upload/{serverName}/{mediaId}
IF-CS-051,spec/framework/23-interface-contract-catalog.md,99,/_matrix/media/*/download/{serverName}/{mediaId},GET,/_matrix/media/v3/download/{serverName}/{mediaId},GET /_matrix/media/v3/download/{serverName}/{mediaId}
IF-CS-051,spec/framework/23-interface-contract-catalog.md,99,/_matrix/media/*/download/{serverName}/{mediaId}/{fileName},GET,/_matrix/media/v3/download/{serverName}/{mediaId}/{fileName},GET /_matrix/media/v3/download/{serverName}/{mediaId}/{fileName}
IF-CS-051,spec/framework/23-interface-contract-catalog.md,99,/_matrix/media/*/thumbnail/{serverName}/{mediaId},GET,/_matrix/media/v3/thumbnail/{serverName}/{mediaId},GET /_matrix/media/v3/thumbnail/{serverName}/{mediaId}
IF-CS-052,spec/framework/23-interface-contract-catalog.md,100,/_matrix/client/*/publicRooms,"GET,POST",/_matrix/client/v3/publicRooms,GET /_matrix/client/v3/publicRooms | POST /_matrix/client/v3/publicRooms
